question,answer,acupuncture_points,pharmacopeia
What TCM treatment helps difficulty concentrating and focusing on tasks?,"Heart-Spleen Deficiency with Phlegm Misting Orifices. Heart houses shen (consciousness), spleen transforms thoughts. Deficiency weakens mental clarity, phlegm clouds mind. Tonify heart-spleen, resolve phlegm, open orifices, restore mental focus.","DU-20 (Baihui), HT-7 (Shenmen), ST-36 (Zusanli), Sishencong (Extra), PC-6 (Neiguan), BL-15 (Xinshu)",Gui Pi Tang (Restore Spleen) plus Wen Dan Tang (Warm Gallbladder)
How does TCM address brain fog and mental cloudiness?,"Spleen Qi Deficiency with Dampness and Phlegm Misting Shen. Weak spleen creates dampness-phlegm that clouds mental clarity. Strengthen spleen, transform phlegm-damp, clear mind orifices, lift clear yang to head.","DU-20 (Baihui), ST-40 (Fenglong), ST-36 (Zusanli), SP-9 (Yinlingquan), Yintang, REN-12 (Zhongwan)","Shen Ling Bai Zhu San (Ginseng, Poria) plus Er Chen Tang (Two-Cured)"
What helps students with poor memory retention and recall?,"Kidney Essence Deficiency with Heart-Spleen Qi Deficiency. Kidney stores essence and willpower, heart-spleen govern cognition. Tonify kidney essence, strengthen heart-spleen, nourish marrow and brain, enhance retention.","KI-3 (Taixi), DU-20 (Baihui), HT-7 (Shenmen), GB-39 (Xuanzhong), ST-36 (Zusanli), BL-23 (Shenshu)",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Gui Pi Tang plus Bu Nao herbs
How to treat inability to make decisions or think clearly?,"Heart-Gallbladder Qi Deficiency with Phlegm. Gallbladder governs decisiveness, heart houses clarity. Deficiency creates indecision and confusion. Tonify heart-gallbladder, resolve phlegm, restore mental courage and clarity.","GB-34 (Yanglingquan), HT-7 (Shenmen), PC-6 (Neiguan), ST-40 (Fenglong), Yintang, DU-20 (Baihui)",Wen Dan Tang (Warm Gallbladder Decoction) plus An Shen Ding Zhi Wan
What TCM approach helps mental fatigue from overthinking?,"Heart-Spleen Qi Deficiency from excessive thinking. Overthinking depletes heart-spleen qi, creates mental exhaustion. Tonify qi, calm shen, regulate thought process, establish mental rest periods.","HT-7 (Shenmen), ST-36 (Zusanli), SP-6 (Sanyinjiao), PC-6 (Neiguan), DU-20 (Baihui), Yintang","Gui Pi Tang (Restore Spleen) plus Gan Mai Da Zao Tang (Licorice, Wheat, Jujube)"
How does TCM address difficulty learning new information?,"Kidney Essence and Spleen Qi Deficiency. Kidney essence supports brain marrow, spleen transforms new information. Tonify kidney essence, strengthen spleen, improve cognitive absorption and neuroplasticity.","KI-3 (Taixi), ST-36 (Zusanli), DU-20 (Baihui), BL-23 (Shenshu), GB-39 (Xuanzhong), Sishencong",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Shen Ling Bai Zhu San
What helps professionals with mental exhaustion and burnout?,"Severe Qi and Blood Deficiency with Heart-Kidney Disharmony. Professional burnout depletes vital substances and disconnects heart-kidney. Tonify qi-blood, connect heart-kidney, restore energy and mental reserves.","ST-36 (Zusanli), HT-7 (Shenmen), KI-3 (Taixi), SP-6 (Sanyinjiao), REN-6 (Qihai), BL-15 (Xinshu)",Ren Shen Yang Rong Tang (Ginseng Nourish Luxuriance) plus Ba Zhen Tang
How to treat scattered thoughts and mental disorganization?,"Heart-Shen Disturbance with Liver Qi Stagnation. Scattered thoughts indicate disturbed shen and stagnant liver qi. Calm shen, soothe liver, anchor mind, improve mental organization and coherence.","HT-7 (Shenmen), LV-3 (Taichong), DU-20 (Baihui), PC-6 (Neiguan), Yintang, Sishencong",Wen Dan Tang (Warm Gallbladder) plus Chai Hu Shu Gan San (Bupleurum Liver-Soothing)
What TCM treatment supports memory palace technique practice?,"Heart-Kidney Connection with Clear Orifices. Memory palace requires sharp shen and strong essence. Connect heart-kidney, tonify essence, clear brain orifices, enhance spatial-visual memory pathways.","DU-20 (Baihui), KI-3 (Taixi), HT-7 (Shenmen), GB-39 (Xuanzhong), Yintang, Sishencong (Extra)","Kai Xin San (Open Heart Powder: Ren Shen, Fu Ling, Yuan Zhi, Shi Chang Pu)"
How does TCM address short-term memory problems?,"Heart Blood Deficiency with Kidney Essence Deficiency. Short-term memory requires heart blood nourishment and kidney essence. Nourish heart blood, tonify kidney essence, support hippocampal function.","HT-7 (Shenmen), KI-3 (Taixi), BL-15 (Xinshu), BL-23 (Shenshu), PC-6 (Neiguan), DU-20 (Baihui)",Gui Pi Tang (Restore Spleen) plus Tian Wang Bu Xin Dan (Emperor of Heaven)
What helps creative blocks and lack of inspiration?,"Liver Qi Stagnation with Heart Blood Deficiency. Stagnation blocks creative flow, deficiency depletes inspiration. Soothe liver, move qi, nourish heart blood, open channels of creativity and innovation.","LV-3 (Taichong), HT-7 (Shenmen), LV-14 (Qimen), PC-6 (Neiguan), GB-34 (Yanglingquan), DU-20 (Baihui)",Xiao Yao San (Free and Easy Wanderer) plus Tao Hong Si Wu Tang (Four Substances)
How to treat mental sluggishness in the morning?,"Spleen-Kidney Yang Deficiency. Morning sluggishness indicates yang qi not rising. Warm spleen-kidney yang, lift clear yang, activate morning qi transformation, restore mental alertness.","DU-20 (Baihui), ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), KI-3 (Taixi), DU-14 (Dazhui)","Bu Zhong Yi Qi Tang (Tonify Middle) plus warm yang herbs, morning practice"
What TCM approach helps exam anxiety affecting memory?,"Heart-Gallbladder Qi Deficiency with Liver Qi Stagnation. Anxiety disrupts heart-gallbladder courage and liver smooth flow. Calm anxiety, tonify heart-gallbladder, soothe liver, restore confident mental function.","HT-7 (Shenmen), GB-34 (Yanglingquan), PC-6 (Neiguan), LV-3 (Taichong), Yintang, ST-36 (Zusanli)",Wen Dan Tang (Warm Gallbladder) plus Xiao Yao San (Free and Easy Wanderer)
How does TCM support long-term memory formation?,"Kidney Essence with Heart-Spleen Support. Long-term memory stored in kidney essence, processed through heart-spleen. Tonify kidney essence deeply, strengthen heart-spleen, consolidate memory formation.","KI-3 (Taixi), HT-7 (Shenmen), ST-36 (Zusanli), BL-23 (Shenshu), BL-15 (Xinshu), DU-20 (Baihui)",Zuo Gui Wan (Restore Left Kidney) plus Gui Pi Tang (Restore Spleen)
What helps age-related cognitive decline and forgetfulness?,"Kidney Essence Deficiency with Heart-Spleen Deficiency. Aging depletes kidney essence affecting brain marrow and cognitive organs. Tonify kidney essence, strengthen heart-spleen, slow cognitive decline, nourish brain.","KI-3 (Taixi), DU-20 (Baihui), GB-39 (Xuanzhong), ST-36 (Zusanli), HT-7 (Shenmen), Sishencong",Liu Wei Di Huang Wan (Six-Ingredient Rehmannia) plus Bu Nao Wan (Nourish Brain)
What TCM treatment helps obsessive negative thinking?,"Phlegm-Fire Harassing Heart with Liver Qi Stagnation. Obsessive thoughts show phlegm-fire disturbing shen and stagnant liver. Clear phlegm-fire, calm heart, soothe liver, break obsessive patterns.","HT-7 (Shenmen), ST-40 (Fenglong), LI-11 (Quchi), LV-3 (Taichong), PC-6 (Neiguan), DU-24 (Shenting)",Wen Dan Tang (Warm Gallbladder) plus Long Dan Xie Gan Tang (Gentian Drain Liver)
How does TCM address rumination and repetitive worrying?,"Liver Qi Stagnation Invading Heart-Spleen. Rumination shows liver constraint affecting thought processing. Soothe liver powerfully, strengthen heart-spleen, move stagnant qi, release repetitive loops.","LV-3 (Taichong), LV-14 (Qimen), HT-7 (Shenmen), PC-6 (Neiguan), GB-34 (Yanglingquan), ST-36 (Zusanli)",Xiao Yao San (Free and Easy Wanderer) plus Chai Hu Shu Gan San
What helps patients stuck in pessimistic thought loops?,"Liver Qi Stagnation with Heart Blood Deficiency and Spleen Deficiency. Pessimism from liver constraint depleting heart joy and spleen transformation. Soothe liver, nourish heart, strengthen spleen, restore optimism.","LV-3 (Taichong), HT-7 (Shenmen), ST-36 (Zusanli), SP-6 (Sanyinjiao), BL-18 (Ganshu), PC-6 (Neiguan)",Xiao Yao San (Free and Easy Wanderer) plus Gui Pi Tang (Restore Spleen)
How to treat catastrophic thinking and worst-case scenarios?,"Heart-Gallbladder Qi Deficiency with Phlegm-Fire. Catastrophic thinking shows fearful heart-gallbladder with agitating phlegm-fire. Tonify courage organs, clear phlegm-fire, restore balanced perspective.","HT-7 (Shenmen), GB-34 (Yanglingquan), ST-40 (Fenglong), PC-6 (Neiguan), LI-11 (Quchi), Yintang","Wen Dan Tang (Warm Gallbladder) plus settle shen minerals (Long Gu, Mu Li)"
What TCM approach helps self-critical inner dialogue?,"Liver Qi Stagnation Invading Heart with Heart Blood Deficiency. Inner criticism shows stagnant liver attacking deficient heart. Soothe liver aggression, nourish heart blood, cultivate self-compassion.","LV-3 (Taichong), HT-7 (Shenmen), LV-14 (Qimen), PC-6 (Neiguan), REN-17 (Danzhong), SP-6 (Sanyinjiao)",Xiao Yao San (Free and Easy Wanderer) plus Si Wu Tang (Four Substances)
How does TCM address excessive self-doubt and insecurity?,"Heart-Gallbladder Qi Deficiency with Kidney Essence Deficiency. Self-doubt from weak courage organs and depleted kidney willpower. Tonify heart-gallbladder-kidney, restore confidence and decisiveness.","HT-7 (Shenmen), GB-34 (Yanglingquan), KI-3 (Taixi), PC-6 (Neiguan), BL-15 (Xinshu), DU-20 (Baihui)",Wen Dan Tang (Warm Gallbladder) plus Liu Wei Di Huang Wan
What helps overthinking past mistakes and regrets?,"Liver Qi Stagnation with Phlegm Misting Shen. Past regrets show liver constraint trapping qi in past timeline with clouded mind. Soothe liver, release past attachment, resolve phlegm, anchor in present.","LV-3 (Taichong), ST-40 (Fenglong), HT-7 (Shenmen), PC-6 (Neiguan), LV-14 (Qimen), GB-34 (Yanglingquan)","Xiao Yao San (Free and Easy Wanderer) plus Wen Dan Tang, release past practice"
How to treat intrusive thoughts and mental obsessions?,"Phlegm-Fire Harassing Heart-Shen. Intrusive thoughts show extreme phlegm-fire agitation disturbing consciousness. Clear phlegm-fire strongly, calm shen, settle disturbed mind, restore mental peace.","HT-7 (Shenmen), DU-24 (Shenting), ST-40 (Fenglong), LI-11 (Quchi), PC-6 (Neiguan), Yintang","Wen Dan Tang (Warm Gallbladder) plus heavy sedating minerals, Long Dan Xie Gan Tang"
What TCM treatment helps perfectionism and fear of failure?,"Heart-Gallbladder Qi Deficiency with Liver Qi Stagnation. Perfectionism combines fearful organs with constrained flow creating impossible standards. Tonify courage, soothe liver, accept imperfection.","HT-7 (Shenmen), GB-34 (Yanglingquan), LV-3 (Taichong), PC-6 (Neiguan), ST-36 (Zusanli), Yintang",Wen Dan Tang (Warm Gallbladder) plus Xiao Yao San plus self-compassion practice
How does TCM address imposter syndrome feelings?,"Heart-Spleen Deficiency with Liver Qi Stagnation. Imposter feelings show deficient self-perception with constrained authentic expression. Strengthen heart-spleen self-worth, soothe liver, validate achievements.","HT-7 (Shenmen), ST-36 (Zusanli), LV-3 (Taichong), SP-6 (Sanyinjiao), PC-6 (Neiguan), REN-17 (Danzhong)",Gui Pi Tang (Restore Spleen) plus Xiao Yao San plus validate achievements
What helps constant comparison with others?,"Liver Qi Stagnation with Heart Blood Deficiency and Kidney Essence Deficiency. Comparison depletes self through stagnation and deficiency. Soothe liver, nourish heart-kidney, anchor in own path.","LV-3 (Taichong), HT-7 (Shenmen), KI-3 (Taixi), BL-18 (Ganshu), BL-23 (Shenshu), PC-6 (Neiguan)",Xiao Yao San (Free and Easy Wanderer) plus Zuo Gui Wan (Restore Left Kidney)
How to treat negative self-image and low self-worth?,"Heart Blood and Kidney Essence Severe Deficiency with Liver Qi Stagnation. Low self-worth shows depleted heart-kidney governing self-value. Deeply nourish heart blood-kidney essence, soothe liver, rebuild self-image.","HT-7 (Shenmen), KI-3 (Taixi), LV-3 (Taichong), SP-6 (Sanyinjiao), BL-15 (Xinshu), REN-17 (Danzhong)",Si Wu Tang (Four Substances) plus Zuo Gui Wan plus self-worth affirmations
What TCM treatment builds emotional resilience and strength?,"Kidney Essence and Qi Deficiency with Heart-Spleen Support. Resilience requires strong kidney willpower and heart-spleen processing. Tonify kidney deeply, strengthen heart-spleen, build adaptive capacity.","KI-3 (Taixi), HT-7 (Shenmen), ST-36 (Zusanli), BL-23 (Shenshu), SP-6 (Sanyinjiao), REN-6 (Qihai)",Jin Gui Shen Qi Wan (Kidney Qi Pill) plus Gui Pi Tang (Restore Spleen)
How does TCM address difficulty handling criticism?,"Heart-Gallbladder Qi Deficiency with Liver Qi Stagnation. Criticism sensitivity shows weak courage organs and defensive stagnation. Tonify heart-gallbladder, soothe liver, develop thick skin energy.","HT-7 (Shenmen), GB-34 (Yanglingquan), LV-3 (Taichong), PC-6 (Neiguan), ST-36 (Zusanli), REN-17 (Danzhong)",Wen Dan Tang (Warm Gallbladder) plus Xiao Yao San plus boundary practice
What helps patients who feel emotionally overwhelmed easily?,"Heart-Spleen Qi Deficiency Unable to Contain Emotions. Overwhelm shows deficient containment and processing capacity. Tonify heart-spleen powerfully, strengthen emotional boundaries, regulate intensity.","HT-7 (Shenmen), ST-36 (Zusanli), SP-6 (Sanyinjiao), REN-17 (Danzhong), PC-6 (Neiguan), BL-15 (Xinshu)",Gui Pi Tang (Restore Spleen) plus Si Jun Zi Tang (Four Gentlemen)
How to treat inability to bounce back from setbacks?,"Kidney Essence and Yang Deficiency with Spleen Qi Deficiency. Inability to recover shows depleted foundational energy and poor transformation. Tonify kidney essence-yang, strengthen spleen, restore regenerative capacity.","KI-3 (Taixi), ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), SP-6 (Sanyinjiao), BL-23 (Shenshu)",You Gui Wan (Restore Right Kidney) plus Shen Ling Bai Zhu San
What TCM approach helps excessive sensitivity to stress?,"Liver Qi Stagnation with Heart-Kidney Deficiency. Stress sensitivity shows poor liver adaptation with depleted heart-kidney reserves. Soothe liver, tonify heart-kidney, increase stress threshold.","LV-3 (Taichong), HT-7 (Shenmen), KI-3 (Taixi), PC-6 (Neiguan), ST-36 (Zusanli), GB-34 (Yanglingquan)",Xiao Yao San (Free and Easy Wanderer) plus Jin Gui Shen Qi Wan
How does TCM support emotional regulation difficulties?,"Liver Qi Stagnation Invading Heart-Spleen. Dysregulation shows liver disrupting emotional processing organs. Strongly soothe liver, strengthen heart-spleen boundary, restore emotional governance.","LV-3 (Taichong), HT-7 (Shenmen), ST-36 (Zusanli), SP-6 (Sanyinjiao), PC-6 (Neiguan), BL-18 (Ganshu)",Xiao Yao San (Free and Easy Wanderer) plus Gui Pi Tang plus boundaries
What helps people who internalize others' emotions?,"Weak Boundaries Between Self and Other Qi. Absorbing others' emotions shows porous energetic boundaries. Strengthen wei qi (defensive qi), tonify kidney-spleen, establish clear energetic boundaries.","LI-4 (Hegu), ST-36 (Zusanli), KI-3 (Taixi), SP-6 (Sanyinjiao), REN-6 (Qihai), BL-13 (Feishu)","Yu Ping Feng San (Jade Windscreen) plus Jin Gui Shen Qi Wan, boundary work"
How to treat emotional numbness and disconnection?,"Heart Blood and Yin Severe Deficiency with Shen Disconnection. Numbness shows extreme depletion forcing consciousness to disconnect. Deeply nourish heart blood-yin, reconnect shen, restore feeling capacity.","HT-7 (Shenmen), KI-6 (Zhaohai), SP-6 (Sanyinjiao), PC-6 (Neiguan), BL-15 (Xinshu), REN-17 (Danzhong)",Tian Wang Bu Xin Dan (Emperor of Heaven) plus Si Wu Tang (Four Substances)
What TCM treatment helps recover from emotional trauma?,"Heart-Shen Injury with Liver Qi Stagnation and Kidney Essence Deficiency. Trauma damages shen, creates liver constraint, depletes kidney. Heal shen, soothe liver, tonify kidney, process and release trauma.","HT-7 (Shenmen), PC-6 (Neiguan), LV-3 (Taichong), KI-3 (Taixi), GB-20 (Fengchi), REN-17 (Danzhong)","Gan Mai Da Zao Tang (Licorice, Wheat, Jujube) plus Chai Hu Shu Gan San"
How does TCM address fear of emotional vulnerability?,"Heart-Gallbladder Qi Deficiency with Liver Qi Stagnation. Vulnerability fear shows weak courage with defensive armor. Tonify heart-gallbladder, gently soothe liver, safe emotional opening.","HT-7 (Shenmen), GB-34 (Yanglingquan), LV-3 (Taichong), PC-6 (Neiguan), REN-17 (Danzhong), Yintang",Wen Dan Tang (Warm Gallbladder) plus Xiao Yao San plus safe opening practice
What helps patients with low frustration tolerance?,"Liver Qi Stagnation with Spleen Qi Deficiency and Impatience. Low tolerance shows constrained flow with weak processing capacity. Soothe liver, strengthen spleen, increase frustration threshold.","LV-3 (Taichong), ST-36 (Zusanli), GB-34 (Yanglingquan), PC-6 (Neiguan), HT-7 (Shenmen), SP-6 (Sanyinjiao)",Xiao Yao San (Free and Easy Wanderer) plus Shen Ling Bai Zhu San
How to treat emotional reactivity and mood swings?,"Liver Yang Rising with Heart Yin Deficiency. Reactivity shows excess liver yang with depleted heart yin regulation. Calm liver yang, nourish heart yin, restore emotional equilibrium.","LV-3 (Taichong), LV-2 (Xingjian), HT-7 (Shenmen), KI-6 (Zhaohai), PC-6 (Neiguan), GB-34 (Yanglingquan)",Tian Ma Gou Teng Yin (Gastrodia and Uncaria) plus Tian Wang Bu Xin Dan
What TCM treatment helps lack of motivation and drive?,"Spleen-Kidney Yang Deficiency with Dampness. Lack of drive shows depleted yang fire and damp obstruction. Warm spleen-kidney yang, resolve dampness, reignite motivational fire.","ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), KI-3 (Taixi), SP-6 (Sanyinjiao), BL-23 (Shenshu)",You Gui Wan (Restore Right Kidney) plus Wu Ling San (Five-Ingredient Powder)
How does TCM address procrastination and avoidance?,"Liver Qi Stagnation with Spleen Qi Deficiency. Procrastination shows stagnant initiation with weak follow-through. Soothe liver to start, strengthen spleen to continue, move action forward.","LV-3 (Taichong), ST-36 (Zusanli), GB-34 (Yanglingquan), SP-6 (Sanyinjiao), PC-6 (Neiguan), REN-6 (Qihai)",Xiao Yao San (Free and Easy Wanderer) plus Shen Ling Bai Zhu San
What helps patients with chronic lack of ambition?,"Kidney Essence and Yang Severe Deficiency. No ambition shows depleted kidney willpower and drive. Deeply tonify kidney essence-yang, restore life force and forward momentum.","KI-3 (Taixi), DU-4 (Mingmen), BL-23 (Shenshu), REN-4 (Guanyuan), ST-36 (Zusanli), GB-25 (Jingmen)",You Gui Wan (Restore Right Kidney) plus Ren Shen Yang Rong Tang
How to treat feeling stuck and unable to move forward?,"Severe Qi Stagnation with Dampness Obstruction. Stuck feeling shows blocked flow with heavy damp burden. Move qi powerfully, transform dampness, clear pathways, restore movement.","LV-3 (Taichong), GB-34 (Yanglingquan), ST-36 (Zusanli), SP-9 (Yinlingquan), PC-6 (Neiguan), LV-14 (Qimen)",Xue Fu Zhu Yu Tang (Drive Out Stasis from Mansion of Blood) plus Wu Ling San
What TCM approach helps loss of purpose and direction?,"Heart-Kidney Disconnection with Kidney Essence Deficiency. Lost purpose shows heart-kidney split affecting willpower and direction. Connect heart-kidney, tonify kidney, restore clarity of life purpose.","HT-7 (Shenmen), KI-3 (Taixi), REN-17 (Danzhong), BL-15 (Xinshu), BL-23 (Shenshu), PC-6 (Neiguan)",Gui Pi Tang (Restore Spleen) plus Jin Gui Shen Qi Wan plus purpose work
How does TCM support initiative and goal-setting difficulties?,"Liver Qi Stagnation with Spleen-Kidney Deficiency. Initiative problems show constrained beginning impulse with weak foundation. Soothe liver for initiation, tonify spleen-kidney for sustained action.","LV-3 (Taichong), ST-36 (Zusanli), KI-3 (Taixi), GB-34 (Yanglingquan), SP-6 (Sanyinjiao), PC-6 (Neiguan)",Xiao Yao San (Free and Easy Wanderer) plus Jin Gui Shen Qi Wan
What helps morning lethargy affecting daily motivation?,"Spleen-Kidney Yang Deficiency. Morning lethargy shows yang not rising to activate daily qi. Warm spleen-kidney yang, lift morning qi, restore energetic awakening.","DU-20 (Baihui), ST-36 (Zusanli), REN-6 (Qihai), DU-4 (Mingmen), KI-3 (Taixi), SP-6 (Sanyinjiao)",You Gui Wan (Restore Right Kidney) plus morning activation
How to treat apathy and disinterest in life?,"Severe Heart-Kidney Yang Deficiency with Shen Withdrawal. Apathy shows profound yang depletion forcing consciousness retreat. Tonify heart-kidney yang, re-engage shen, restore interest in life.","HT-7 (Shenmen), KI-3 (Taixi), REN-6 (Qihai), DU-4 (Mingmen), ST-36 (Zusanli), DU-20 (Baihui)",Ren Shen Yang Rong Tang (Ginseng Nourish Luxuriance) plus shen re-engagement
What TCM treatment helps restore passion and enthusiasm?,"Liver Qi Stagnation transforming to Liver Blood Deficiency with Heart Fire Deficiency. Lost passion shows constrained then depleted flow with extinguished heart fire. Soothe liver, nourish blood, reignite heart fire.","HT-7 (Shenmen), LV-3 (Taichong), REN-17 (Danzhong), BL-15 (Xinshu), LV-14 (Qimen), PC-6 (Neiguan)",Chai Hu Shu Gan San (Bupleurum) plus Gui Pi Tang plus reignite passion
How does TCM address resistance to change and growth?,"Liver Qi Stagnation with Kidney Yang Deficiency. Change resistance shows fear-based constraint with depleted adaptive energy. Soothe liver fear, tonify kidney yang, increase flexibility and openness.","LV-3 (Taichong), KI-3 (Taixi), DU-4 (Mingmen), GB-34 (Yanglingquan), ST-36 (Zusanli), REN-6 (Qihai)",Xiao Yao San (Free and Easy Wanderer) plus You Gui Wan plus flexibility training
