code,name_english,name_pinyin,category,location_note,function_note
LU1,Middle Palace,Zhongfu,Front-Mu of Lung,1st intercostal space 6 cun lateral to midline,Clears Lung heat; regulates Lung Qi
LU2,Cloud Gate,Yunmen,-,Below clavicle 6 cun lateral to midline,Clears Lung heat; disperses fullness in chest
LU3,Heavenly Palace,Tianfu,Window of Heaven,3 cun inferior to axillary fold on biceps,Clears Lung heat; cools blood; calms Corporeal Soul (Po)
LU4,Guarding White,Xiabai,-,4 cun inferior to axillary fold,Regulates Qi and blood; relieves pain
LU5,Cubit Marsh,Chize,He-Sea; Water,Elbow crease radial side of biceps tendon,Clears Heat from Lung; relaxes sinews
LU6,Maximum Opening,Kongzui,Xi-Cleft,7 cun above wrist crease,Acute asthma; stops bleeding (hemoptysis)
LU7,Broken Sequence,Lieque,Luo-Connecting; Command (Head/Neck),1.5 cun above wrist; styloid process,Releases exterior; opens Ren Mai; treats head/neck
LU8,Channel Gutter,Jingqu,Jing-River; Metal,1 cun above wrist crease,Clears Lung heat; treats sore throat
LU9,Great Abyss,Taiyuan,Shu-Stream; Yuan-Source; Earth,Wrist crease radial side of artery,Tonifies Lung Qi/Yin; influences pulse (Hui-Meeting)
LU10,Fish Border,Yuji,Ying-Spring; Fire,Midpoint of 1st metacarpal bone,Clears Lung Heat; benefits throat
LU11,Lesser Shang,Shaoshang,Jing-Well; Wood,Radial corner of thumbnail,Revives consciousness; clears heat (sore throat)
LI1,Merchant Yang,Shangyang,Jing-Well; Metal,Radial corner of index finger nail,Clears heat; revives consciousness
LI2,Second Space,Erjian,Ying-Spring; Water,Distal to 2nd MCP joint (radial),Clears heat; reduces swelling
LI3,Third Space,Sanjian,Shu-Stream; Wood,Proximal to 2nd MCP joint (radial),Expels wind-heat; treats finger pain
LI4,Union Valley,Hegu,Yuan-Source; Command (Face),Midpoint of 2nd metacarpal bone,Releases exterior; stops pain; induces labor (contraindicated pregnancy)
LI5,Yang Stream,Yangxi,Jing-River; Fire,Anatomical snuffbox,Clears heat; calms spirit
LI6,Veering Passage,Pianli,Luo-Connecting,3 cun above LI5,Opens lung water passages; treats edema
LI7,Warm Flow,Wenliu,Xi-Cleft,5 cun above LI5,Clears heat; treats acute oral issues
LI8,Lower Angle,Xialian,-,4 cun below LI11,Clear heat; harmonizes SI
LI9,Upper Angle,Shanglian,-,3 cun below LI11,Shoulder/arm pain; numbness
LI10,Arm Three Miles,Shousanli,-,2 cun below LI11,Tonifies Qi/Blood; treats arm paralysis
LI11,Pool at the Crook,Quchi,He-Sea; Earth,Lateral end of elbow crease,Clears Heat; cools blood; eliminates wind (skin)
LI12,Elbow Crevice,Zhouliao,-,Superior to lateral epicondyle,Elbow pain/contracture
LI13,Arm Five Miles,Shouwuli,-,3 cun above LI11,Relieves pain; treats scrofula
LI14,Upper Arm,Binao,-,Insertion of deltoid muscle,Brightens eyes; treats shoulder pain
LI15,Shoulder Bone,Jianyu,-,Anterior dimple of shoulder,Eliminates wind; benefits shoulder joint
LI16,Great Bone,Jugu,-,Depression between clavicle and scapular spine,Regulates Qi/Blood; shoulder pain
LI17,Heavenly Vessel,Tianding,-,Post. border of SCM; level with laryngeal prom.,Benefits throat/voice
LI18,Support Prominence,Futu,Window of Heaven,Level with laryngeal prom. between SCM heads,Benefits throat; alleviates cough
LI19,Grain Bone,Heliao,-,Below lateral margin of nostril,Opens nasal passages
LI20,Welcome Fragrance,Yingxiang,Meeting LI/ST,Nasolabial groove level with midpoint of ala nasi,Opens nose; clears wind-heat
ST1,Tear Container,Chengqi,Meeting ST/Ren/Yang Qiao,Between eyeball and infraorbital ridge,Benefits eyes; stops lacrimation
ST2,Four Whites,Sibai,-,Infraorbital foramen,Benefits eyes; clears wind (face)
ST3,Great Crevice,Juliao,-,Directly below pupil level with nostril,Eliminates wind; reduces swelling
ST4,Earth Granary,Dicang,-,Lateral to corner of mouth,Eliminates wind (Bell's Palsy); stops pain
ST5,Great Welcome,Daying,-,Anterior to angle of mandible,Eliminates wind; reduces swelling
ST6,Jaw Chariot,Jiache,-,One finger-width ant/sup to angle of mandible,Eliminates wind; benefits jaw/teeth
ST7,Below the Joint,Xiaguan,-,Depression below zygomatic arch,Benefits ear/jaw; clears wind
ST8,Head Support,Touwei,Meeting ST/GB,Corner of forehead (hairline),Eliminates wind; relieves headache (migraine)
ST9,Man's Prognosis,Renying,Window of Heaven,Level with laryngeal prom.; ant. border SCM,Regulates Qi/Blood; benefits throat/BP
ST10,Water Prominence,Shuitu,-,Midway between ST9 and ST11,Benefits throat/neck
ST11,Qi Abode,Qishe,-,Sup. border of clavicle between SCM heads,Benefits throat/neck
ST12,Empty Basin,Quepen,-,Supraclavicular fossa midclavicular line,Descends Lung Qi; clears heat
ST13,Qi Door,Qihu,-,Infraclavicular fossa on midclavicular line,Descends Lung Qi
ST14,Storeroom,Kufang,-,1st intercostal space midclavicular line,Descends Lung Qi
ST15,Roof,Wuyi,-,2nd intercostal space midclavicular line,Stops pain/itching
ST16,Breast Window,Yingchuang,-,3rd intercostal space midclavicular line,Relieves cough/wheezing
ST17,Breast Center,Ruzhong,-,Center of nipple,Contraindicated for needling; landmark only
ST18,Breast Root,Rugen,-,5th intercostal space midclavicular line,Benefits breasts (mastitis/lactation); moves Qi
ST19,Not Passing,Burong,-,6 cun above umbilicus 2 cun lateral,Harmonizes Middle Jiao; descends Stomach Qi
ST20,Supporting Fullness,Chengman,-,5 cun above umbilicus 2 cun lateral,Harmonizes Stomach; descends Qi
ST21,Beam Gate,Liangmen,-,4 cun above umbilicus 2 cun lateral,Regulates Qi; relieves pain/vomiting
ST22,Pass Gate,Guanmen,-,3 cun above umbilicus 2 cun lateral,Regulates intestines; transforms damp
ST23,Supreme Unity,Taiyi,-,2 cun above umbilicus 2 cun lateral,Calms spirit; transforms phlegm
ST24,Slippery Flesh,Huaroumen,-,1 cun above umbilicus 2 cun lateral,Calms spirit; harmonizes stomach
ST25,Heaven's Pivot,Tianshu,Front-Mu of LI,Level with umbilicus 2 cun lateral,Regulates intestines/Spleen; treats diarrhea/constipation
ST26,Outer Mound,Wailing,-,1 cun below umbilicus 2 cun lateral,Regulates Qi; relieves pain
ST27,Great Gigantic,Daju,-,2 cun below umbilicus 2 cun lateral,Benefits Kidneys; regulates Qi
ST28,Waterway,Shuidao,-,3 cun below umbilicus 2 cun lateral,Regulates Lower Jiao; benefits urination/uterus
ST29,Return,Guilai,-,4 cun below umbilicus 2 cun lateral,Warms Lower Jiao; regulates menses
ST30,Surging Qi,Qichong,Meeting of Sea of Food,5 cun below umbilicus 2 cun lateral,Regulates Chong Mai; promotes essence
ST31,Big Thigh Gate,Biguan,-,Thigh crease lateral to sartorius,Leg pain/atrophy; dispels wind-damp
ST32,Crouching Rabbit,Futu,-,6 cun above patella lateral border,Expels wind-damp; activates channel
ST33,Yin Market,Yinshi,-,3 cun above patella lateral border,Dispels wind-damp; knee pain
ST34,Liangqiu,Liangqiu,Xi-Cleft,2 cun above patella lateral border,Acute stomach pain; knee swelling
ST35,Calf's Nose,Dubi,-,Lateral depression of patellar ligament,Disperses wind-damp; benefits knee
ST36,Leg Three Miles,Zusanli,He-Sea; Earth; Command (Abdomen),3 cun below ST35 one finger-breadth lateral crest,Tonifies Qi/Blood/Spleen; harmonizes Stomach
ST37,Upper Great Void,Shangjuxu,Lower He-Sea of LI,6 cun below ST35,Regulates Large Intestine; clears damp-heat
ST38,Ribbon Opening,Tiaokou,-,8 cun below ST35,Benefits shoulder; muscle cramps
ST39,Lower Great Void,Xiajuxu,Lower He-Sea of SI,9 cun below ST35,Regulates Small Intestine; relieves pain
ST40,Abundant Bulge,Fenglong,Luo-Connecting,8 cun below ST35; 2 fingers lateral to crest,Transforms Phlegm (major point); calms spirit
ST41,Ravine Divide,Jiexi,Jing-River; Fire,Ankle crease between tendons,Clears Stomach heat; calms spirit
ST42,Surging Yang,Chongyang,Yuan-Source,Distal to ST41 on high point of dorsum,Clears Stomach heat; calms spirit
ST43,Sunken Valley,Xiangu,Shu-Stream; Wood,Between 2nd/3rd metatarsals,Reduces facial swelling; regulates Stomach
ST44,Inner Court,Neiting,Ying-Spring; Water,Proximal to web of 2nd/3rd toes,Clears Stomach Fire; toothache
ST45,Strict Exchange,Lidui,Jing-Well; Metal,Lateral corner of 2nd toe nail,Clears heat; calms spirit (nightmares)
SP1,Hidden White,Yinbai,Jing-Well; Wood,Medial corner of big toe nail,Stops bleeding; calms spirit; regulates Spleen
SP2,Great Metropolis,Dadu,Ying-Spring; Fire,Distal to 1st MTP joint (medial),Tonifies Spleen; clears heat
SP3,Supreme White,Taibai,Shu-Stream; Yuan-Source; Earth,Proximal to 1st MTP joint (medial),Tonifies Spleen Qi; harmonizes Stomach
SP4,Grandfather Grandson,Gongsun,Luo-Connecting; Opening Chong Mai,Base of 1st metatarsal bone,Regulates Chong Mai/Stomach; treats gastric pain
SP5,Shang Mound,Shangqiu,Jing-River; Metal,Depression distal/inferior to medial malleolus,Tonifies Spleen; resolves dampness
SP6,Three Yin Intersection,Sanyinjiao,Meeting SP/LV/KI,3 cun above medial malleolus,Tonifies Spleen/Kidney; moves Liver Qi; regulates menses
SP7,Leaking Valley,Lougu,-,6 cun above medial malleolus,Promotes urination; resolves damp
SP8,Earth Crux,Diji,Xi-Cleft,3 cun below SP9,Acute menstrual pain; harmonizes blood
SP9,Yin Mound Spring,Yinlingquan,He-Sea; Water,Inferior border of medial condyle of tibia,Drains Dampness; regulates water passages
SP10,Sea of Blood,Xuehai,-,2 cun above patella on vastus medialis,Invigorates/Cools Blood; treats skin/menses
SP11,Basket Door,Jimen,-,6 cun above SP10,Regulates urination
SP12,Surging Gate,Chongmen,Meeting SP/LV,Groin crease lateral to artery,Invigorates blood; drains damp
SP13,Bowels Abode,Fushe,Meeting SP/LV/Yin Wei,0.7 cun superior to SP12,Regulates Qi; relieving pain
SP14,Abdomen Knot,Fujie,-,1.3 cun below SP15,Warms middle jiao; descends Qi
SP15,Great Horizontal,Daheng,-,4 cun lateral to umbilicus,Regulates intestines; constipation
SP16,Abdomen Sorrow,Fuai,Meeting SP/Yin Wei,3 cun above SP15,Clears heat; damp-heat
SP17,Food Hole,Shidou,-,5th intercostal space 6 cun lateral,Dissipates food stagnation
SP18,Celestial Stream,Tianxi,-,4th intercostal space 6 cun lateral,Promotes lactation; moves Qi
SP19,Chest Village,Xiongxiang,-,3rd intercostal space 6 cun lateral,Descends Lung Qi
SP20,Encircling Glory,Zhourong,-,2nd intercostal space 6 cun lateral,Descends Lung Qi
SP21,Great Wrapping,Dabao,Great Luo of Spleen,6th intercostal space mid-axillary line,Regulates Qi/Blood of all Luo channels; body pain
HT1,Utmost Source,Jiquan,-,Center of axilla,Unbinds chest; activates channel
HT2,Green Spirit,Qingling,-,3 cun above elbow (medial),Activates channel; stops arm pain
HT3,Lesser Sea,Shaohai,He-Sea; Water,Medial end of elbow crease,Calms Spirit; clears heat
HT4,Spirit Path,Lingdao,Jing-River; Metal,1.5 cun above wrist crease (ulnar),Calms Spirit; benefits voice
HT5,Penetrating Mile,Tongli,Luo-Connecting,1 cun above wrist crease (ulnar),Calms Spirit; regulates heart rhythm; tongue (speech)
HT6,Yin Cleft,Yinxi,Xi-Cleft,0.5 cun above wrist crease (ulnar),Nourishes Heart Yin; treats night sweats/acute pain
HT7,Spirit Gate,Shenmen,Shu-Stream; Yuan-Source; Earth,Wrist crease ulnar side,Calms Spirit (Insomnia/Anxiety); tonifies Heart
HT8,Lesser Palace,Shaofu,Ying-Spring; Fire,Where pinky tip touches palm,Clears Heart Fire/Heat; urinary issues
HT9,Lesser Surge,Shaochong,Jing-Well; Wood,Radial corner of pinky nail,Clears Heart Heat; revives consciousness
SI1,Lesser Marsh,Shaoze,Jing-Well; Metal,Ulnar corner of pinky nail,Promotes lactation; clears heat
SI2,Front Valley,Qiangu,Ying-Spring; Water,Distal to 5th MCP joint (ulnar),Clears heat; benefits eyes/ears
SI3,Back Stream,Houxi,Shu-Stream; Wood; Opening Du Mai,Proximal to 5th MCP joint (ulnar),Benefits spine/neck; clears wind/heat
SI4,Wrist Bone,Wangu,Yuan-Source,Depression between 5th metacarpal/triquetral,Clears damp-heat (jaundice); pain along channel
SI5,Yang Valley,Yanggu,Jing-River; Fire,Ulnar side of wrist in depression,Clears heat; calms spirit
SI6,Nursing the Old,Yanglao,Xi-Cleft,Dorsal ulnar head (palm to chest),Benefits eyes; acute shoulder/arm pain
SI7,Branch of the Upright,Zhizheng,Luo-Connecting,5 cun above wrist,Calms spirit; releases exterior
SI8,Small Sea,Xiaohai,He-Sea; Earth,Groove between olecranon/medial epicondyle,Clears heat; calms spirit; arm pain
SI9,Shoulder Integrity,Jianzhen,-,1 cun superior to post. axillary crease,Benefits shoulder; expels wind
SI10,Upper Arm Shu,Naoshu,Meeting SI/Yang Wei/Yang Qiao,Superior to posterior axillary crease,Benefits shoulder; resolves phlegm
SI11,Heavenly Gathering,Tianzong,-,Center of infrascapular fossa,Moves Qi in chest/scapula; benefits breasts
SI12,Grasping the Wind,Bingfeng,Meeting SI/LI/SJ/GB,Center of suprascapular fossa,Expels wind; benefits shoulder
SI13,Crooked Wall,Quyuan,-,Medial end of suprascapular fossa,Shoulder blade pain
SI14,Outer Shoulder Shu,Jianwaishu,-,3 cun lateral to T1,Shoulder/back pain; expels wind-cold
SI15,Middle Shoulder Shu,Jianzhongshu,-,2 cun lateral to C7,Unbinds chest; clears heat; asthma
SI16,Heavenly Window,Tianchuang,Window of Heaven,Posterior border SCM level with laryngeal prom.,Benefits ears/throat; sudden deafness
SI17,Heavenly Appearance,Tianrong,Window of Heaven,Posterior to angle of mandible,Benefits neck/throat; resolves swelling
SI18,Cheek Bone Crevice,Quanliao,-,Below zygomatic arch directly below outer canthus,Eliminates wind; toothache; face pain
SI19,Palace of Hearing,Tinggong,-,Depression anterior to tragus (mouth open),Benefits ears/hearing; calms spirit
BL1,Bright Eyes,Jingming,Meeting BL/SI/ST/GB/SJ,Inner canthus of eye,Benefits eyes; expels wind
BL2,Gathering Bamboo,Zanzhu,-,Medial end of eyebrow,Benefits eyes; clears wind; headache
BL3,Eyebrow Ascension,Meichong,-,0.5 cun within hairline directly above BL2,Headache; nasal issues
BL4,Crooked Curve,Qucha,-,1.5 cun lateral to midline 0.5 cun within hairline,Headache; eye pain
BL5,Five Places,Wuchu,-,1 cun posterior to BL4,Headache; epilepsy
BL6,Light Guard,Chengguang,-,1.5 cun posterior to BL5,Clear heat; visual dizziness
BL7,Heavenly Connection,Tongtian,-,1.5 cun posterior to BL6,Nasal congestion/polyps
BL8,Declining Connection,Luoque,-,1.5 cun posterior to BL7,Visual dizziness; tinnitus
BL9,Jade Pillow,Yuzhen,-,Level with upper border of ext. occipital protuberance,Headache; neck pain
BL10,Celestial Pillar,Tianzhu,Window of Heaven,1.3 cun lateral to midline in trapezius depression,Occipital headache; neck rigidity; clears wind
BL11,Great Shuttle,Dazhu,Hui-Meeting of Bone,1.5 cun lateral to T1,Benefits bones/joints; expels wind
BL12,Wind Gate,Fengmen,Meeting BL/GV,1.5 cun lateral to T2,Expels wind (prevention of cold/flu)
BL13,Lung Shu,Feishu,Back-Shu of Lung,1.5 cun lateral to T3,Tonifies Lung Qi/Yin; clears heat
BL14,Pericardium Shu,Jueyinshu,Back-Shu of PC,1.5 cun lateral to T4,Regulates Heart; calms spirit
BL15,Heart Shu,Xinshu,Back-Shu of Heart,1.5 cun lateral to T5,Tonifies Heart; calms spirit (major emotional point)
BL16,Governor Shu,Dushu,Back-Shu of GV,1.5 cun lateral to T6,Regulates Heart/blood; skin issues
BL17,Diaphragm Shu,Geshu,Hui-Meeting of Blood,1.5 cun lateral to T7,Invigorates/Cools Blood; tonifies blood
BL18,Liver Shu,Ganshu,Back-Shu of Liver,1.5 cun lateral to T9,Tonifies Liver; moves Qi; benefits eyes
BL19,Gallbladder Shu,Danshu,Back-Shu of GB,1.5 cun lateral to T10,Clears GB Damp-Heat; harmonizes Shao Yang
BL20,Spleen Shu,Pishu,Back-Shu of Spleen,1.5 cun lateral to T11,Tonifies Spleen Qi; resolves dampness
BL21,Stomach Shu,Weishu,Back-Shu of Stomach,1.5 cun lateral to T12,Harmonizes Stomach; resolves food stagnation
BL22,Triple Burner Shu,Sanjiaoshu,Back-Shu of TE,1.5 cun lateral to L1,Regulates water passages; resolves edema
BL23,Kidney Shu,Shenshu,Back-Shu of Kidney,1.5 cun lateral to L2,Tonifies Kidney Yang/Yin/Essence; lumbar pain
BL24,Sea of Qi Shu,Qihaishu,-,1.5 cun lateral to L3,Strengthens lower back; regulates menses
BL25,Large Intestine Shu,Dachangshu,Back-Shu of LI,1.5 cun lateral to L4,Regulates intestines; treats sciatica
BL26,Origin Shu,Guanyuanshu,-,1.5 cun lateral to L5,Strengthens lower back; urination
BL27,Small Intestine Shu,Xiaochangshu,Back-Shu of SI,1.5 cun lateral to 1st sacral foramen,Regulates SI; bladder issues
BL28,Bladder Shu,Pangguangshu,Back-Shu of BL,1.5 cun lateral to 2nd sacral foramen,Regulates Bladder; damp-heat
BL29,Mid Spine Shu,Zhonglushu,-,1.5 cun lateral to 3rd sacral foramen,Sciatica; hernia
BL30,White Ring Shu,Baihuanshu,-,1.5 cun lateral to 4th sacral foramen,Leukorrhea; seminal emission
BL31,Upper Crevice,Shangliao,Meeting BL/GB,1st sacral foramen,Regulates menses/urination; lumbar pain
BL32,Second Crevice,Ciliao,Meeting BL/GB,2nd sacral foramen,Regulates menses/urination; induces labor
BL33,Middle Crevice,Zhongliao,Meeting BL/GB,3rd sacral foramen,Regulates menses/urination
BL34,Lower Crevice,Xialiao,Meeting BL/GB,4th sacral foramen,Regulates menses/urination
BL35,Meeting of Yang,Huiyang,-,0.5 cun lateral to coccyx tip,Treats hemorrhoids; coccyx pain
BL36,Bearing Support,Chengfu,-,Center of gluteal fold,Sciatica; hemorrhoids
BL37,Gate of Abundance,Yinmen,-,6 cun below BL36,Sciatica; back pain
BL38,Floating Cleft,Fuxi,-,1 cun superior to BL39,Relax sinews; knee pain
BL39,Outside the Crook,Weiyang,Lower He-Sea of TE,Lateral end of popliteal crease,Harmonizes Triple Burner; regulates water
BL40,Middle of the Crook,Weizhong,He-Sea; Earth; Command (Back),Midpoint of popliteal crease,Clears Heat; benefits lumbar back; cools blood
BL41,Attached Branch,Fufen,-,3 cun lateral to T2,Stiffness of shoulder/back
BL42,Door of the Corporeal Soul,Pohu,-,3 cun lateral to T3,Tonifies Lung; soothes Po soul
BL43,Vital Region Shu,Gaohuangshu,-,3 cun lateral to T4,Tonifies severe deficiency; chronic illness
BL44,Hall of the Spirit,Shentang,-,3 cun lateral to T5,Calms Shen; anxiety/insomnia
BL45,Yi Xi,Yixi,-,3 cun lateral to T6,Malaria; fever
BL46,Diaphragm Gate,Geguan,-,3 cun lateral to T7,Difficulty swallowing; belching
BL47,Gate of the Ethereal Soul,Hunmen,-,3 cun lateral to T9,Regulates Liver Qi; soothes Hun soul
BL48,Yang Head,Yanggang,-,3 cun lateral to T10,Damp-heat; borborygmus
BL49,Abode of Thought,Yishe,-,3 cun lateral to T11,Stimulates memory/concentration (Yi)
BL50,Stomach Granary,Weicang,-,3 cun lateral to T12,Harmonizes stomach
