Question,Answer,Category,Notes
What is the acupuncture protocol for frozen shoulder (adhesive capsulitis)?,"For frozen shoulder, use local points: LI15, TE14, SI9, SI10, GB21, and Jianqian (extra point). Distal points: LI4, TE5, SI3. Add Ashi points in the deltoid region. Technique: Strong stimulation with electroacupuncture (2-100Hz). Treat 2-3x weekly for 6-8 weeks. Include shoulder mobilization exercises.",msk_protocols,Upper extremity
What is the acupuncture protocol for tennis elbow (lateral epicondylitis)?,"For tennis elbow, use local points: LI11, LI10, LU5, TE10, and Ashi points at the lateral epicondyle. Distal points: LI4, SI3, TE5. Technique: Oblique insertion toward the epicondyle, electroacupuncture 2Hz. Consider cupping over the extensor muscles. Treat 2x weekly for 4-6 weeks.",msk_protocols,Upper extremity
What is the acupuncture protocol for golfer's elbow (medial epicondylitis)?,"For golfer's elbow, use local points: HT3, PC3, and Ashi points at the medial epicondyle. Distal points: PC6, HT7, LI4. Technique: Perpendicular insertion 0.5-1 cun, gentle stimulation. Avoid over-manipulation of the tender area. Treat 2x weekly for 4-6 weeks.",msk_protocols,Upper extremity
What is the acupuncture protocol for carpal tunnel syndrome?,"For carpal tunnel syndrome, use local points: PC7, PC6, HT7, LU9, TE5, LI5. Distal points: LI4, LI11. Technique: Shallow insertion at wrist (0.3-0.5 cun), electroacupuncture 2Hz between PC6-PC7. Add SI3 and BL62 for chronic cases. Treat 2x weekly for 6-8 weeks.",msk_protocols,Upper extremity
What is the acupuncture protocol for sciatica?,"For sciatica, use affected-side points along the Bladder and Gallbladder meridians: BL23, BL25, BL26, BL36, BL37, BL40, BL57, BL60, and GB30, GB31, GB34, GB39. Add Huatuojiaji points at L4-S1. Technique: Deep needling at GB30 (3-4 cun), electroacupuncture 2-100Hz continuous. Cupping along the Bladder meridian.",msk_protocols,Lower extremity
What is the acupuncture protocol for piriformis syndrome?,"For piriformis syndrome, use GB30 (deep needling 3-4 cun toward the piriformis), BL54, BL36, GB29. Add BL40 and GB34 as distal points. Technique: Electroacupuncture between GB30-BL54, 2Hz for 20-30 minutes. Stretch the piriformis before and after treatment.",msk_protocols,Lower extremity
What is the acupuncture protocol for plantar fasciitis?,"For plantar fasciitis, use local points: KI1, KI2, KI3, Ashi points on the plantar surface near the calcaneus. Distal points: BL57, BL60, KI6. Technique: Perpendicular insertion through the heel pad (may be uncomfortable), electroacupuncture 2Hz. Add cupping on the calf muscles. Treat 2x weekly for 6-8 weeks.",msk_protocols,Lower extremity
What is the acupuncture protocol for knee osteoarthritis?,"For knee osteoarthritis, use local points around the knee: ST35 (Dubi), Xiyan (extra), ST34, ST36, SP9, SP10, GB34, BL40. Add Heding (extra point above patella). Technique: Surround the patella with needles, electroacupuncture 2-100Hz. Consider moxibustion for cold-type arthritis. Treat 2x weekly for 8-12 weeks.",msk_protocols,Lower extremity
What is the acupuncture protocol for ankle sprain?,"For acute ankle sprain (after 48 hours), use points around the ankle: ST41, GB40, BL60, BL62, KI3, KI6, and Ashi points. For chronic sprain add: GB34, ST36, SP6. Technique: Shallow needling around swelling, electroacupuncture to reduce inflammation. Cupping for chronic cases.",msk_protocols,Lower extremity
What is the acupuncture protocol for low back pain (acute)?,"For acute low back pain, use BL23, BL24, BL25, BL26 (bilateral), GV4, GV3. Add Huatuojiaji points at the affected level. Distal points: BL40, BL60, SI3, BL62. Technique: Strong stimulation, electroacupuncture 100Hz for pain relief. Cupping along the paraspinal muscles. Mobilize gently after treatment.",msk_protocols,Spine
What is the acupuncture protocol for chronic low back pain?,"For chronic low back pain, use BL23, BL24, BL25, BL52, GV4, and Huatuojiaji points L3-S1. Add KI3 for Kidney deficiency patterns. Distal points: BL40, BL60, BL62. Technique: Moderate stimulation, electroacupuncture 2Hz, warm needle or moxa for cold patterns. Treat 1-2x weekly long-term.",msk_protocols,Spine
What is the acupuncture protocol for cervical spondylosis?,"For cervical spondylosis, use local points: GB20, GB21, BL10, GV14, Huatuojiaji C3-C7, and Ashi points. Distal points: SI3, BL62, LI4, TE5. Technique: Shallow needling in the neck (0.5-1 cun), electroacupuncture 2Hz between paired points. Cupping on upper back. Add tuina for best results.",msk_protocols,Spine
What is the acupuncture protocol for thoracic pain?,"For thoracic pain, use BL11-BL21 (affected level), Huatuojiaji points T1-T12 at the painful level, GV points. Add BL17 for Blood stagnation, BL18-BL20 for organ-related patterns. Distal points: SI3, BL62. Technique: Oblique insertion along the spine, electroacupuncture. Cupping along the Bladder meridian.",msk_protocols,Spine
What is the acupuncture protocol for tension headache?,"For tension headache, use GB20, GB21, BL10, GV20, Taiyang (extra), and Ashi points on the scalp and neck. Distal points: LI4, LV3 (Four Gates), GB34. Technique: Shallow needling on the scalp, moderate stimulation at GB20. Release neck and upper trapezius tension with cupping.",msk_protocols,Head and neck
What is the acupuncture protocol for TMJ dysfunction?,"For TMJ dysfunction, use local points: ST6, ST7, SI18, TE21, GB2, and Ashi points over the masseter and temporalis. Distal points: LI4, ST44, LV3. Technique: Perpendicular insertion 0.5-1 cun, electroacupuncture 2Hz between ST6-ST7. May add intra-oral points for severe cases.",msk_protocols,Head and neck
What is the acupuncture protocol for rotator cuff injury?,"For rotator cuff injury, use local points: LI15, TE14, SI9, SI10, SI11, SI12, and Jianneiling (extra). Distal points: LI4, TE5, LI11. Technique: Deep needling into the supraspinatus and infraspinatus, electroacupuncture 2Hz. Avoid aggressive manipulation during acute phase.",msk_protocols,Upper extremity
What is the acupuncture protocol for hip pain?,"For hip pain, use GB30 (deep 3-4 cun), GB29, GB31, BL54, ST31. Add BL23 for Kidney deficiency contributing to hip degeneration. Distal points: GB34, GB39, ST36. Technique: Strong stimulation at GB30, electroacupuncture 2-100Hz. Moxa for cold-type arthritis.",msk_protocols,Lower extremity
What is the acupuncture protocol for Achilles tendinitis?,"For Achilles tendinitis, use local points: BL60, BL61, KI3, KI4, and Ashi points along the Achilles tendon. Distal points: BL57, BL40. Technique: Needle along the tendon borders (not through it), electroacupuncture 2Hz. Eccentric strengthening exercises between treatments.",msk_protocols,Lower extremity
What is the acupuncture protocol for IT band syndrome?,"For IT band syndrome, use local points along the lateral thigh: GB31, GB32, GB33, GB34, and Ashi points along the IT band. Add ST36 and BL40. Technique: Needle along the IT band with oblique insertion, electroacupuncture 2Hz. Deep tissue work and stretching complement treatment.",msk_protocols,Lower extremity
What is the acupuncture protocol for fibromyalgia?,"For fibromyalgia, use systemic approach: LI4, LV3 (Four Gates), SP6, ST36, CV6, GV20, and Ashi points at tender points. Add BL18, BL20 for Liver-Spleen patterns. Technique: Gentle stimulation, no aggressive needling. Low-frequency electroacupuncture 2Hz. Treat 1-2x weekly, long-term management.",msk_protocols,Systemic
What are the best points for acute pain relief?,"For acute pain relief, use distal points first: LI4 (upper body pain), ST44 (face/head), BL40 (low back), BL60 (heel/ankle). Add local Ashi points. Technique: Strong stimulation, electroacupuncture 100Hz. Si Guan (Four Gates: LI4, LV3) for systemic pain relief.",msk_protocols,General principles
What are the best points for chronic pain conditions?,"For chronic pain, tonify underlying deficiency while addressing local stagnation. Use: ST36, SP6 (Qi and Blood tonification), BL23, KI3 (Kidney strengthening), plus local points. Technique: Moderate stimulation, electroacupuncture 2Hz, warm needle/moxa for deficiency patterns.",msk_protocols,General principles
When should moxa be added to MSK treatments?,"Add moxa for: cold patterns (patient feels cold, pain worse with cold), deficiency conditions (chronic pain, weak constitution), Kidney Yang deficiency (chronic low back pain in elderly). Use direct moxa on needles (warm needle technique) or indirect moxa boxes. Contraindicated in heat patterns.",msk_protocols,General principles
When should cupping be added to MSK treatments?,"Add cupping for: muscle tension (neck, shoulders, back), Blood stagnation (fixed pain, dark tongue), Wind-Cold-Damp Bi syndrome, and to enhance circulation after needling. Use sliding cupping for large muscle groups, stationary cupping for local areas. Avoid on areas with thin skin or bony prominences.",msk_protocols,General principles
What is electroacupuncture frequency selection for MSK conditions?,"Frequency selection: 2Hz (low) - releases endorphins, best for chronic pain, tonification; 100Hz (high) - releases dynorphins/enkephalins, best for acute pain, analgesia; 2-100Hz (mixed/dense-disperse) - combines benefits, good for most conditions. Session duration: 20-30 minutes.",msk_protocols,General principles