Question,Answer,Points,Pharmacopeia,Pregnancy_Warning
What is Shonishin and when to use it?,Shonishin is Japanese pediatric acupuncture using non-insertive tools for stroking tapping and pressing. Ideal for infants and children under 7 who cannot tolerate needle insertion. Treats common pediatric conditions gently.,Non-insertive technique on channels,Pediatric-specific formulas at reduced doses,N/A - pediatric treatment
What points treat pediatric colic?,ST25 (Tianshu) with gentle massage. CV12 (Zhongwan) with warming. ST36 with very light pressure. Sifeng (extra points) on finger creases. Use Shonishin stroking on abdomen.,"ST25, CV12, ST36, Sifeng",Xiao Er Qi Pi formula,N/A - pediatric treatment
How to treat pediatric fever with acupuncture?,GV14 (Dazhui) with light technique or Shonishin. LI4 (Hegu) for heat release - light stimulation. LI11 (Quchi) clears heat. Ear apex bloodletting if appropriate for age.,"GV14, LI4, LI11, ear apex",Pediatric fever formulas reduced dose,N/A - pediatric treatment
What treats childhood asthma?,BL13 (Feishu) with gentle technique or cupping. LU7 (Lieque) for Lung Qi. CV17 (Shanzhong) for chest. Dingchuan (extra point) for wheezing. ST40 for phlegm.,"BL13, LU7, CV17, Dingchuan, ST40",Xiao Qing Long Tang pediatric dose,N/A - pediatric treatment
How to treat pediatric digestive issues?,CV12 (Zhongwan) is central for digestion. ST36 strengthens Spleen. Sifeng points on fingers for food stagnation. SP6 with gentle technique. Abdominal massage essential.,"CV12, ST36, Sifeng, SP6",Bao He Wan pediatric,N/A - pediatric treatment
What points help with pediatric sleep problems?,Yintang for calming. HT7 (Shenmen) for Heart peace. Anmian (extra point) for sleep. Ear Shenmen point. Gentle Shonishin on Heart and Kidney channels.,"Yintang, HT7, Anmian, ear points",Suan Zao Ren Tang pediatric,N/A - pediatric treatment
How to treat bedwetting (enuresis)?,CV4 (Guanyuan) and CV3 (Zhongji) with moxa or warming. BL23 (Shenshu) tonifies Kidney. BL28 (Pangguangshu) for bladder. SP6 for lower jiao. Treat before bedtime.,"CV4, CV3, BL23, BL28, SP6",Suo Quan Wan pediatric,N/A - pediatric treatment
What treats childhood eczema?,LI11 (Quchi) clears heat. SP10 (Xuehai) cools blood. SP6 for blood nourishment. LU7 for skin. Local points around affected areas. Avoid scratched areas.,"LI11, SP10, SP6, LU7",Xiao Feng San pediatric,N/A - pediatric treatment
How to treat pediatric constipation?,ST25 (Tianshu) with clockwise abdominal massage. SJ6 (Zhigou) key point for constipation. ST36 for Qi. KI6 moistens intestines. Sifeng if food stagnation.,"ST25, SJ6, ST36, KI6, Sifeng",Ma Zi Ren Wan pediatric dose,N/A - pediatric treatment
What points help with ADHD symptoms?,GV20 (Baihui) for mental clarity. Sishencong (extra points) around GV20. HT7 calms spirit. KI3 for Kidney essence. LR3 for Liver wind. PC6 for focus.,"GV20, Sishencong, HT7, KI3, LR3, PC6",Pattern-based formulas,N/A - pediatric treatment
How to treat pediatric ear infections?,SJ17 (Yifeng) local for ear. GB2 (Tinghui) for hearing. SJ5 (Waiguan) for Shaoyang. LI4 and LI11 to clear heat. GB20 for head.,"SJ17, GB2, SJ5, LI4, LI11, GB20",Xiao Chai Hu Tang pediatric,N/A - pediatric treatment
What treats common cold in children?,LI4 and LU7 for exterior release. GB20 for wind. GV14 for fever. Yintang for nasal congestion. Use Shonishin on Lung channel.,"LI4, LU7, GB20, GV14, Yintang",Yin Qiao San pediatric,N/A - pediatric treatment
How to treat pediatric allergies?,LI4 and LI20 for nasal allergies. BL13 for Lung. ST36 strengthens Wei Qi. SP6 for blood. Yintang for sinuses.,"LI4, LI20, BL13, ST36, SP6, Yintang",Yu Ping Feng San pediatric,N/A - pediatric treatment
What points help poor appetite in children?,CV12 (Zhongwan) for Stomach. ST36 for digestion. Sifeng points critical for poor appetite. SP6 for Spleen. Zusanli massage daily.,"CV12, ST36, Sifeng, SP6",Shen Ling Bai Zhu San pediatric,N/A - pediatric treatment
How to treat growing pains?,GB34 (Yanglingquan) for sinews. ST36 for nourishment. Local Ahshi points. BL57 for calf pain. KI3 for Kidney supporting growth.,"GB34, ST36, local points, BL57, KI3",Pattern-based - often Kidney tonics,N/A - pediatric treatment
What treats pediatric anxiety?,HT7 (Shenmen) is primary. PC6 for emotional regulation. Yintang for calming. GV20 to lift spirit. LR3 if Liver involvement.,"HT7, PC6, Yintang, GV20, LR3",Gan Mai Da Zao Tang pediatric,N/A - pediatric treatment
How to treat childhood diarrhea?,ST25 with moxa if cold. CV12 for middle jiao. ST36 tonifies Spleen. SP9 resolves dampness. Sifeng if food stagnation component.,"ST25, CV12, ST36, SP9, Sifeng",Shen Ling Bai Zhu San or Ge Gen formulas,N/A - pediatric treatment
What points treat pediatric headache?,GB20 (Fengchi) for occipital. Taiyang for temporal. Yintang for frontal. GV20 for vertex. LI4 for general headache.,"GB20, Taiyang, Yintang, GV20, LI4",Pattern-based formulas,N/A - pediatric treatment
How to support immune system in children?,ST36 is essential for Wei Qi. LI4 strengthens protective Qi. BL13 (Feishu) for Lung. CV12 for digestion supporting immunity.,"ST36, LI4, BL13, CV12",Yu Ping Feng San,N/A - pediatric treatment
What treats recurrent tonsillitis?,LI4 and LI11 clear heat. LU11 (Shaoshang) for throat - can bleed in acute. ST44 clears heat. CV22 (Tiantu) for throat.,"LI4, LI11, LU11, ST44, CV22",Yin Qiao San modifications,N/A - pediatric treatment
How to treat pediatric nausea and vomiting?,PC6 (Neiguan) is the key antiemetic point. CV12 for Stomach. ST36 harmonizes middle. SP4 for Chong Mai if severe.,"PC6, CV12, ST36, SP4",Xiao Ban Xia Tang pediatric,N/A - pediatric treatment
What points help with night terrors?,HT7 calms Heart spirit. Yintang for calming. GV20 for shen. KI3 for Kidney-Heart connection. Anmian for sleep.,"HT7, Yintang, GV20, KI3, Anmian",An Shen formulas pediatric,N/A - pediatric treatment
How to treat pediatric cough?,LU7 (Lieque) descends Lung Qi. CV22 (Tiantu) for throat and cough. BL13 for Lung. ST40 resolves phlegm. Dingchuan if wheezing.,"LU7, CV22, BL13, ST40, Dingchuan",Pediatric cough syrups - pattern based,N/A - pediatric treatment
What treats childhood obesity?,ST36 and SP6 for metabolism. CV12 for digestion. ST40 resolves phlegm-dampness. ST25 for intestines. LR3 for Liver Qi.,"ST36, SP6, CV12, ST40, ST25, LR3",Pattern-based weight formulas,N/A - pediatric treatment
How to treat pediatric sinusitis?,LI20 (Yingxiang) for nose. Yintang for sinuses. LI4 for face. GV23 (Shangxing) for nose. BL2 for frontal sinuses.,"LI20, Yintang, LI4, GV23, BL2",Cang Er Zi San pediatric,N/A - pediatric treatment
What points help with teething pain?,LI4 for face and pain. ST44 clears Stomach heat. Local jaw points. PC8 (Laogong) for heat clearing.,"LI4, ST44, local points, PC8",Topical teething herbs,N/A - pediatric treatment
How to treat pediatric skin conditions?,LI11 and SP10 for all skin. LU7 for Lung-skin connection. SP6 for blood. Local points based on location.,"LI11, SP10, LU7, SP6",Xiao Feng San or pattern-based,N/A - pediatric treatment
What treats developmental delays?,GV20 and Sishencong for brain. KI3 for Kidney essence. ST36 for nourishment. HT7 for cognition. GB39 (Xuanzhong) for marrow.,"GV20, Sishencong, KI3, ST36, HT7, GB39",Kidney essence tonics,N/A - pediatric treatment
How to treat pediatric urinary issues?,CV3 and CV4 for bladder/lower jiao. BL23 for Kidney. BL28 for bladder. SP6 for lower jiao. KI3 for Kidney Qi.,"CV3, CV4, BL23, BL28, SP6, KI3",Pattern-based urinary formulas,N/A - pediatric treatment
What points help with speech delays?,HT5 (Tongli) for tongue and speech. CV23 (Lianquan) for tongue. GV15 (Yamen) for speech. GV20 for brain. KI3 for Kidney essence.,"HT5, CV23, GV15, GV20, KI3",Kidney essence and Heart tonics,N/A - pediatric treatment
How to treat infantile massage key areas?,Spinal massage (Tuina) on vertebral column. Abdominal clockwise massage. Hand channel massage. Foot reflexology areas. Ear massage.,"Massage channels not points in infants",Topical massage oils,N/A - pediatric treatment
What treats recurrent respiratory infections?,ST36 builds Wei Qi. BL13 strengthens Lung. LU9 tonifies Lung Qi. CV17 for chest. LI4 for protective Qi.,"ST36, BL13, LU9, CV17, LI4",Yu Ping Feng San long-term,N/A - pediatric treatment
How to treat pediatric stomachache?,CV12 central point. ST36 for Stomach Qi. SP6 for Spleen. PC6 if nausea. ST25 if intestinal. Sifeng if food stagnation.,"CV12, ST36, SP6, PC6, ST25, Sifeng",Pattern-based digestive formulas,N/A - pediatric treatment
What points help with autism spectrum?,GV20 and Sishencong for brain. HT7 for Heart-shen. KI3 for Kidney essence. PC6 for emotional regulation. Scalp acupuncture.,"GV20, Sishencong, HT7, KI3, PC6",Kidney and Heart tonics,N/A - pediatric treatment
How to treat pediatric conjunctivitis?,LI4 clears heat from face. GB20 for eyes. BL2 (Zanzhu) local for eyes. LR2 clears Liver heat. Taiyang extra point.,"LI4, GB20, BL2, LR2, Taiyang",Eye-clearing formulas pediatric,N/A - pediatric treatment
What is needle retention time for children?,Children under 3: no retention or seconds only. Ages 3-7: 5-10 minutes maximum. Ages 7-12: 10-15 minutes. Over 12: approaching adult retention times.,"Age-appropriate technique",Dose by age and weight,N/A - pediatric treatment
How to treat pediatric nosebleeds?,LI20 local pressure. GV23 for nose. LI4 to regulate Qi of face. SP1 (Yinbai) to stop bleeding. LU11 clears Lung heat.,"LI20, GV23, LI4, SP1, LU11",Cooling blood formulas,N/A - pediatric treatment
What treats mumps in children?,SJ17 (Yifeng) local for parotid. LI4 and SJ5 for Shaoyang. GB20 for head. Ear apex bloodletting if appropriate.,"SJ17, LI4, SJ5, GB20",Pu Ji Xiao Du Yin pediatric,N/A - pediatric treatment
How to treat whooping cough?,CV22 (Tiantu) for cough and throat. LU7 descends Lung Qi. BL13 for Lung. ST40 for phlegm. Dingchuan for spasm.,"CV22, LU7, BL13, ST40, Dingchuan",Bai Bu formulas pediatric,N/A - pediatric treatment
What points help with pediatric anemia?,ST36 and SP6 to build blood. BL17 (Geshu) influential for blood. BL20 for Spleen making blood. LR8 for Liver blood.,"ST36, SP6, BL17, BL20, LR8",Dang Gui Bu Xue Tang pediatric,N/A - pediatric treatment
How to treat childhood chicken pox?,LI11 clears heat from skin. SP10 cools blood. GV14 for fever. LI4 for exterior. Local points avoided on lesions.,"LI11, SP10, GV14, LI4",Heat-clearing and skin formulas,N/A - pediatric treatment
What treats pediatric hernias?,Moxa on CV6 and CV4 to lift Qi. ST36 strengthens Spleen Qi. LR1 (Dadun) for Liver channel inguinal area.,"CV6, CV4, ST36, LR1",Bu Zhong Yi Qi Tang pediatric,N/A - pediatric treatment
How to treat pediatric epilepsy?,GV20 (Baihui) for brain. GV26 for emergency revival. HT7 calms spirit. LR3 for Liver wind. PC6 for regulation. GB20 for wind.,"GV20, GV26, HT7, LR3, PC6, GB20",Ding Xian Wan and similar,N/A - pediatric treatment - coordinate with neurologist
What points help failure to thrive?,ST36 essential for growth. CV12 for digestion. Sifeng for nutrition absorption. BL20 for Spleen. KI3 for Kidney essence.,"ST36, CV12, Sifeng, BL20, KI3",Strong digestive and Kidney tonics,N/A - pediatric treatment
How to treat pediatric food allergies?,ST36 strengthens Spleen Qi. SP6 for blood and immunity. LI4 for Wei Qi. CV12 for digestion. ST40 if phlegm component.,"ST36, SP6, LI4, CV12, ST40",Yu Ping Feng San plus pattern-based,N/A - pediatric treatment
What treats learning difficulties?,GV20 and Sishencong for brain. HT7 for cognition. KI3 for Kidney essence supporting brain. GB39 for marrow. PC6 for focus.,"GV20, Sishencong, HT7, KI3, GB39, PC6",Kidney essence and Heart tonics,N/A - pediatric treatment
How to treat pediatric chronic fatigue?,ST36 is essential for energy. SP6 for blood. CV4 and CV6 for Qi. BL23 for Kidney. GV4 for Yang.,"ST36, SP6, CV4, CV6, BL23, GV4",Bu Zhong Yi Qi Tang pediatric,N/A - pediatric treatment
What is the appropriate needle gauge for children?,Use finest gauges available - 38-40 gauge (0.12-0.16mm). For infants prefer non-insertive Shonishin. Intradermal needles good for older children. Press tacks for take-home treatment.,"Thinnest needles appropriate for age",Topical preferred for very young,N/A - pediatric treatment
How to treat pediatric nocturnal emissions (older children)?,KI3 and BL23 for Kidney. CV4 (Guanyuan) to stabilize. HT7 to calm spirit. SP6 for lower jiao.,"KI3, BL23, CV4, HT7, SP6",Jin Suo Gu Jing Wan,N/A - pediatric treatment
What treats pediatric hay fever?,LI4 and LI20 for nose. Yintang for sinuses. BL13 for Lung. ST36 for Wei Qi. GB20 for wind.,"LI4, LI20, Yintang, BL13, ST36, GB20",Yu Ping Feng San plus antiallergy,N/A - pediatric treatment
How to approach needle-phobic children?,Start with Shonishin or Tuina massage. Use stickers or press seeds on points. Introduce needle sight gradually. Make treatment playful. Parents present for comfort.,"Non-insertive first then progress",Oral herbs instead if needle refused,N/A - pediatric treatment
What points help with pediatric obesity?,ST40 for phlegm-dampness. ST36 and SP6 for metabolism. CV12 for digestion. LR3 for Qi flow. Ear points for appetite.,"ST40, ST36, SP6, CV12, LR3",Pattern-based weight formulas,N/A - pediatric treatment
How to treat motion sickness in children?,PC6 (Neiguan) is the key point - can use wristband. CV12 for Stomach. ST36 to harmonize. Yintang for calming.,"PC6, CV12, ST36, Yintang",Xiao Ban Xia Tang pediatric,N/A - pediatric treatment
What is treatment frequency for children?,Acute conditions: daily or every other day. Chronic conditions: 1-2 times weekly. Maintenance: weekly to monthly. Shorter sessions than adults.,"Age-appropriate frequency",Adjust formula frequency,N/A - pediatric treatment
How to treat thumb-sucking habit?,HT7 for emotional calming. PC6 for self-soothing. Ear Shenmen. Address underlying anxiety or insecurity.,"HT7, PC6, ear points",Calm-spirit formulas if needed,N/A - pediatric treatment
What treats pediatric headaches from screen time?,GB20 (Fengchi) for neck tension. Taiyang for temples. BL2 for eyes. LI4 for pain. GV20 for vertex.,"GB20, Taiyang, BL2, LI4, GV20",Liver-soothing formulas,N/A - pediatric treatment
How to treat pediatric chronic rhinitis?,LI20 and Yintang for nose. LI4 for Wei Qi. BL13 for Lung. ST36 for immunity. GB20 for upper body.,"LI20, Yintang, LI4, BL13, ST36, GB20",Cang Er Zi San modifications,N/A - pediatric treatment
What is the role of Sifeng points in pediatrics?,Sifeng (Four Seams) are extra points on the palmar surface of finger joints. Pricked to release yellow fluid for food stagnation malnutrition and poor appetite. Very effective for digestive issues.,"Sifeng M-UE-9",Combined with digestive formulas,N/A - pediatric treatment
How to treat pediatric night crying?,HT7 calms Heart. Yintang for peace. Anmian for sleep. KI3 if Kidney weakness. Check for pain or digestive issues first.,"HT7, Yintang, Anmian, KI3",An Shen pediatric formulas,N/A - pediatric treatment
What treats recurrent strep throat?,LI4 and LI11 for heat. LU11 for throat - can bleed. CV22 local for throat. ST44 clears Yangming heat. GB20.,"LI4, LI11, LU11, CV22, ST44, GB20",Yin Qiao San or Pu Ji Xiao Du Yin,N/A - pediatric treatment
How to treat pediatric torticollis?,GB20 and GB21 for neck. SI3 (Houxi) for neck stiffness. BL10 (Tianzhu) local. LI4 for pain. Ahshi points.,"GB20, GB21, SI3, BL10, LI4",Muscle-relaxing formulas,N/A - pediatric treatment
What points help with concentration issues?,GV20 and Sishencong for mental clarity. HT7 for Heart-brain. KI3 for essence supporting brain. PC6 for focus. LR3 if hyperactivity.,"GV20, Sishencong, HT7, KI3, PC6, LR3",Focus-supporting formulas,N/A - pediatric treatment
How to treat pediatric sports injuries?,Local Ahshi points. GB34 for sinews. ST36 for healing. BL17 for blood. LI4 for pain. Based on injury location.,"Local points, GB34, ST36, BL17, LI4",Die Da formulas pediatric,N/A - pediatric treatment
What is dosing principle for pediatric herbs?,Under 1 year: 1/6 adult dose. 1-3 years: 1/4 dose. 3-6 years: 1/3 dose. 6-12 years: 1/2 dose. Over 12: approaching adult dose. Adjust for constitution.,"Acupuncture treatment as primary",Age and weight-based dosing,N/A - pediatric treatment
How to treat pediatric emotional trauma?,HT7 and PC6 for Heart calming. Yintang for peace. GV20 for spirit lifting. KI3 for grounding. LR3 for Liver Qi.,"HT7, PC6, Yintang, GV20, KI3, LR3",Gan Mai Da Zao Tang,N/A - pediatric treatment
What is the role of parents in pediatric treatment?,Parents provide history and observe symptoms. May hold child during treatment. Learn massage techniques for home care. Administer herbs. Monitor progress.,"Teach parents Tuina",Teach herbal administration,N/A - pediatric treatment
